sma_period,stop_points,Timeframe,Equity Final,Profit Factor,Avg Trade,Expectancy,Trades,Wins,Losses,Win Rate %,Max DD %,Max DD $
10,30,30m,101758.53999999788,1.2587347664819264,8.70564356435663,8.70564356435662,202,99,103,49.00990099009901,1.1470150945737267,1173.1800000005605
30,30,30m,101755.1199999981,1.2972895147821606,9.696795580110658,9.696795580110653,181,93,88,51.38121546961326,0.9083894103123608,921.87000000033
20,30,30m,101642.15999999808,1.2739467340623465,8.97355191256847,8.973551912568475,183,93,90,50.81967213114754,0.9307974310702981,946.910000000833
30,20,30m,101526.03999999736,1.2439345645898208,6.055714285714441,6.055714285714441,252,124,128,49.2063492063492,0.7500452441487518,759.2600000002567
10,20,30m,101284.07999999708,1.1747906114431792,4.602437275985855,4.6024372759858565,279,136,143,48.74551971326165,0.8641184151950454,879.9800000006653
20,20,30m,101203.42999999729,1.1822393038916896,4.646447876448039,4.646447876448036,259,125,134,48.26254826254826,0.9512269630731942,964.6600000003091
50,20,30m,101094.33999999746,1.1757117809134234,4.522066115702623,4.5220661157026285,242,119,123,49.17355371900827,1.1997991938126333,1214.5800000008749
30,25,30m,101069.9499999978,1.168712333605604,5.09500000000016,5.095000000000159,210,103,107,49.047619047619044,0.9727796213391642,983.330000000351
10,25,30m,101057.21999999753,1.1469581680340126,4.47974576271205,4.479745762712049,236,112,124,47.45762711864407,1.1956135459596267,1215.5400000006339
50,25,30m,101002.84999999785,1.1682385822227643,4.891951219512339,4.891951219512336,205,99,106,48.292682926829265,1.1525943623505615,1163.8000000007596
50,30,30m,100886.6899999982,1.1508363542338298,5.155174418604791,5.155174418604787,172,84,88,48.837209302325576,1.2744641704952155,1287.4400000006863
20,25,30m,100738.10999999772,1.1101699468934672,3.3858256880735556,3.385825688073556,218,105,113,48.1651376146789,1.189839606575445,1202.9000000009692
20,15,30m,100295.67999999676,1.0414350356432744,0.9568932038836551,0.9568932038836593,309,146,163,47.249190938511326,1.2626747372104532,1275.4400000012101
50,15,30m,100266.01999999685,1.0389529758714777,0.883787375415438,0.8837873754154408,301,139,162,46.179401993355484,1.2687199386496733,1276.8400000010006
30,15,30m,100238.1199999968,1.03387906148228,0.7781699346406801,0.7781699346406761,306,145,161,47.385620915032675,1.1214896232449434,1131.9400000012101
10,15,30m,99820.83999999642,0.9776444854276214,-0.5238596491226204,-0.523859649122624,342,161,181,47.07602339181287,1.4448917912497838,1459.6700000014825
